0Total_Test_Accuracy: 0.8302|NR F1: 0.7082|FR F1: 0.8467|TR F1: 0.8934|UR F1: 0.8292
5Total_Test_Accuracy: 0.8475|NR F1: 0.7581|FR F1: 0.8402|TR F1: 0.9105|UR F1: 0.8671
10Total_Test_Accuracy: 0.8520|NR F1: 0.7616|FR F1: 0.8478|TR F1: 0.9143|UR F1: 0.8702
15Total_Test_Accuracy: 0.8520|NR F1: 0.7592|FR F1: 0.8470|TR F1: 0.9229|UR F1: 0.8658
20Total_Test_Accuracy: 0.8527|NR F1: 0.7603|FR F1: 0.8482|TR F1: 0.9244|UR F1: 0.8658
25Total_Test_Accuracy: 0.8535|NR F1: 0.7723|FR F1: 0.8484|TR F1: 0.9201|UR F1: 0.8672
30Total_Test_Accuracy: 0.8582|NR F1: 0.7829|FR F1: 0.8528|TR F1: 0.9243|UR F1: 0.8683
35Total_Test_Accuracy: 0.8582|NR F1: 0.7874|FR F1: 0.8528|TR F1: 0.9243|UR F1: 0.8641
40Total_Test_Accuracy: 0.8590|NR F1: 0.7895|FR F1: 0.8528|TR F1: 0.9243|UR F1: 0.8653
45Total_Test_Accuracy: 0.8590|NR F1: 0.7895|FR F1: 0.8528|TR F1: 0.9243|UR F1: 0.8653
50Total_Test_Accuracy: 0.8646|NR F1: 0.7946|FR F1: 0.8669|TR F1: 0.9238|UR F1: 0.8672
55Total_Test_Accuracy: 0.8638|NR F1: 0.7925|FR F1: 0.8656|TR F1: 0.9238|UR F1: 0.8672
60Total_Test_Accuracy: 0.8638|NR F1: 0.7925|FR F1: 0.8656|TR F1: 0.9238|UR F1: 0.8672
65Total_Test_Accuracy: 0.8646|NR F1: 0.7946|FR F1: 0.8669|TR F1: 0.9238|UR F1: 0.8672
70Total_Test_Accuracy: 0.8646|NR F1: 0.7946|FR F1: 0.8669|TR F1: 0.9238|UR F1: 0.8672
75Total_Test_Accuracy: 0.8638|NR F1: 0.7925|FR F1: 0.8656|TR F1: 0.9238|UR F1: 0.8672
80Total_Test_Accuracy: 0.8638|NR F1: 0.7925|FR F1: 0.8656|TR F1: 0.9238|UR F1: 0.8672
85Total_Test_Accuracy: 0.8646|NR F1: 0.7946|FR F1: 0.8669|TR F1: 0.9238|UR F1: 0.8672
90Total_Test_Accuracy: 0.8646|NR F1: 0.7946|FR F1: 0.8656|TR F1: 0.9250|UR F1: 0.8672
95Total_Test_Accuracy: 0.8627|NR F1: 0.8001|FR F1: 0.8511|TR F1: 0.9256|UR F1: 0.8696
100Total_Test_Accuracy: 0.8619|NR F1: 0.7990|FR F1: 0.8511|TR F1: 0.9240|UR F1: 0.8696
